player_name,equipe,positions,cluster,UMAP_1,UMAP_2,UMAP_3
Djaoui Cissé,Rennes,MF,1,16.63697,6.749916,5.144068
Wahbi Khazri,Montpellier,"FW,MF",0,19.368319,6.8518357,1.5189241
Musa Al-Taamari,Montpellier,"FW,MF",0,20.039356,5.6967607,1.0917217
Timothee Pembele,Le Havre,DF,7,18.134317,9.179407,4.2184715
Jaydee Canvot,Toulouse,"DF,MF",6,16.522882,8.741642,5.160586
Edimilson Fernandes,Brest,"MF,DF",6,16.278515,8.489505,5.519742
Badredine Bouanani,Nice,"MF,FW",0,19.075798,5.6498313,1.140733
Abner,Lyon,DF,8,16.910755,8.091913,2.8688793
Kevin Danso,Lens,DF,2,13.918962,8.658473,5.0082994
Akor Adams,Montpellier,FW,3,21.724533,8.09774,0.98351896
Gonçalo Ramos,Paris S,FW,3,20.925858,8.52279,0.41070816
Matias Fernandez-Pardo,Lille,"FW,MF",0,19.776382,6.141581,0.6000318
Sofiane Diop,Nice,"MF,FW",0,18.19779,5.7215877,1.019114
Irvin Cardona,Saint,FW,3,20.120695,7.3520575,1.9928396
Rassoul Ndiaye,Le Havre,MF,6,19.114496,7.3878355,4.9429955
Jeremie Boga,Nice,"MF,FW",0,19.61357,5.1387315,1.5661865
Ernest Nuamah,Lyon,"FW,MF",0,19.750036,6.1927166,2.3061037
Amine Gouiri,Marseille,"FW,MF",0,19.125767,6.659216,1.2737834
Han-Noah Massengo,Auxerre,MF,6,17.67273,8.000066,5.4341054
Angelo Fulgini,Lens,"MF,FW",0,17.595,5.9071026,1.5250705
Louis Mouton,Saint,MF,1,18.052353,6.3143425,4.8627315
Neal Maupay,Marseille,FW,3,20.557638,7.450023,1.6646675
Aimen Moueffek,Saint,MF,6,18.818941,7.6521053,4.2570114
Yunis Abdelhamid,Saint,DF,5,14.334057,9.832359,5.7793193
Khalil Fayad,Montpellier,"MF,FW",6,18.16097,7.495141,4.5369534
Soungoutou Magassa,Monaco,MF,1,17.288193,6.5154977,5.140788
Mohammed Salisu,Monaco,DF,2,14.157932,7.826667,4.661262
Warren Kamanzi,Toulouse,"DF,MF",4,18.631075,7.8570824,3.6916332
Saidou Sow,Strasbourg,DF,2,13.9393015,9.569364,5.215251
Théo Sainte-Luce,Montpellier,DF,7,18.60334,9.44689,3.9686632
Rémy Cabella,Lille,"FW,MF",0,17.929998,5.4685845,1.6612368
Paul Joly,Auxerre,DF,8,16.73487,8.804964,2.4799058
Oussama Targhalline,Le Havre,MF,6,17.523338,8.455389,5.415017
Edon Zhegrova,Lille,"FW,MF",0,18.676054,5.751767,1.3832968
Yanis Zouaoui,Le Havre,"DF,FW",9,17.121355,7.0675654,1.5305831
Abdukodir Khusanov,Lens,DF,2,14.72134,8.95705,4.754237
Anthony Rouault,Rennes,DF,2,14.099477,8.713196,5.145878
Ado Onaiwu,Auxerre,"MF,FW",3,20.673817,7.3143673,2.3130407
Junior Mwanga,Le Havre,MF,6,16.799725,7.625934,4.8752255
Thiago Almada,Lyon,"MF,FW",9,16.846497,5.9765334,2.2211163
Sael Kumbedi,Lyon,DF,7,18.131184,8.443286,3.814122
Marcus Coco,Nantes,DF,7,17.52018,9.214791,2.6736994
Abakar Sylla,Strasbourg,DF,5,14.449582,10.203606,4.2851925
Yael Mouanga,Montpellier,DF,5,14.828285,9.7176285,5.881374
Antoine Joujou,Le Havre,"MF,FW",0,19.888466,5.9698906,1.6987425
Ibrahima Niane,Angers,FW,3,21.365969,7.7200575,0.43961862
Theo Bair,Auxerre,FW,3,22.324274,8.092375,1.8775204
Ulisses Garcia,Marseille,DF,4,17.944473,6.597007,3.0388806
Jérémy Jacquet,Rennes,DF,2,15.779092,8.615595,4.7986245
Baptiste Santamaria,Nice,MF,6,17.089373,8.240967,5.045452
Khvicha Kvaratskhelia,Paris S,FW,0,18.305695,4.849254,1.2833732
Wesley Saïd,Lens,FW,3,21.0744,6.959161,1.4873961
Ismaily,Lille,DF,8,16.450573,8.1098,2.743119
Romain Faivre,Brest,"MF,FW",0,19.246649,5.9125147,1.6492757
Hiroki Sekine,Reims,DF,7,17.302914,9.277077,3.9319205
Goduine Koyalipou,Lens,FW,3,21.623493,7.9125853,1.9303012
Lucas Hernández,Paris S,DF,2,14.089381,7.589111,3.8931322
Mathis Amougou,Saint,MF,6,18.167366,8.271732,5.303635
Mamadou Diakhon,Reims,"FW,MF",0,20.147238,5.4433184,1.3873925
Mohamed Abdelmoneim,Nice,DF,2,15.455374,8.842613,4.934332
Koka,Le Havre,FW,3,21.668594,8.50369,1.9050134
Zinedine Ferhat,Angers,"FW,MF",9,17.8954,6.7628765,1.2626832
Seko Fofana,Rennes,MF,1,17.587133,6.042117,3.5399225
Antoine Mendy,Nice,DF,7,16.840317,8.718356,4.0600543
Ibrahim Sissoko,Saint,FW,3,21.957035,7.497096,1.8239774
Louis Leroux,Nantes,"MF,DF",4,19.231937,7.2272873,4.132438
Albert Grønbaek,Rennes,"MF,FW",0,19.285835,6.376038,0.74417436
Senny Mayulu,Paris S,MF,4,18.298681,5.75411,3.2074583
Jonathan Rowe,Marseille,"FW,MF",0,19.36721,5.107832,1.1489849
Alidu Seidu,Rennes,DF,7,16.710484,8.456521,3.76343
Yoann Salmier,Le Havre,DF,5,15.065419,10.126338,5.7431993
Yvann Macon,Saint,DF,7,17.579931,8.34002,3.532194
Jordan Amavi,Brest,DF,7,17.159998,8.765572,3.5699184
Tom Louchet,Nice,"DF,MF",8,17.235489,7.894191,2.6345706
Sekou Mara,Strasbourg,"FW,MF",3,21.649254,7.0979257,2.0819235
Maxime Bernauer,Saint,DF,2,14.0916815,8.70853,4.4851456
Boubakar Kouyaté,Montpellier,DF,5,14.545721,9.933257,5.591868
Teddy Teuma,Reims,MF,9,16.727976,6.7754846,2.944072
Angel Gomes,Lille,MF,4,18.385462,6.1823983,2.6072607
Saïd Benrahma,Lyon,"FW,MF",0,18.673569,5.0926914,1.1670262
Augustine Boakye,Saint,"FW,MF",0,20.280073,6.471553,1.676711
Mathieu Cafaro,Saint,"MF,FW",0,19.374617,7.1181574,2.0584865
Rayan Raveloson,Auxerre,"MF,DF",6,16.585472,8.291062,5.479404
George Ilenikhena,Monaco,FW,3,21.634586,8.407357,0.8508123
Lucas Mincarelli,Montpellier,DF,7,17.101831,9.281672,4.7964735
Jacques Ekomie,Angers,"DF,FW",7,18.725687,9.007392,4.5535154
Mikayil Ngor Faye,Rennes,DF,2,14.151575,8.239257,4.8731437
Abdulai Juma Bah,Lens,DF,5,14.735342,9.557708,5.6891313
Pol Lirola,Marseille,DF,7,16.318304,9.79961,4.256851
Assane Dioussé,Auxerre,MF,6,16.720684,7.763733,5.3704515
Glen Kamara,Rennes,MF,6,17.518543,7.148675,5.0856967
Emmanuel Sabbi,Le Havre,"FW,MF",3,21.069332,6.7923875,1.8771807
Ismaël Bennacer,Marseille,MF,1,15.61388,5.6675153,3.5656788
Chuba Akpom,Lille,FW,3,21.222668,8.061614,0.22239962
Luck Zogbé,Brest,DF,7,17.778349,8.533174,4.2017984
Rémy Labeau Lascary,Lens,"FW,MF",0,20.602077,6.4386992,1.1832929
