player_name,equipe,positions,cluster,tsne_1,tsne_2,tsne_3,tsne_4
Marquinhos,Paris S,DF,2,-0.8917683370740287,2.0093193873786244,-0.8157890217899177,-0.45491395978284926
Philipp Köhn,Monaco,GK,5,-1.9224891615912052,0.15223790263093848,1.5154187639629924,-2.431878142757211
Abdoulaye Niakhate Ndiaye,Brest,DF,0,-0.961497671501176,0.9075987722623315,1.4246181833306037,-0.7913937408209171
Joseph Okumu,Reims,DF,2,-0.8522149117797968,1.1881945150789341,-0.2648796052483327,-1.253546922135336
Marshall Munetsi,Reims,MF,7,1.355505079251938,-1.3629494300845455,0.674118498819304,0.590796463344268
Rabby Nzingoula,Montpellier,MF,6,0.4299868939217456,-0.351035886742984,1.2620196917110784,0.2419080254966714
Hans Hateboer,Rennes,DF,2,-0.6687024170529221,0.9724164347141886,0.11325135111377954,-0.3600042973848777
Massadio Haïdara,Brest,DF,3,-0.9767411919196668,-0.6698872835726455,0.5025877300978108,0.3751622481423774
Nuno Mendes,Paris S,DF,2,-0.47329779814765804,1.3261025385225427,-1.513833159130728,0.27972124094163714
Joshua King,Toulouse,"FW,MF",7,1.551197538595651,-1.5000390792506286,-0.00781460120926339,0.9998919491026065
Lee Kang-in,Paris S,"FW,MF",4,0.32421640047748457,-0.036600048679215486,-2.3231498366227292,1.041351560464747
Gabriel Osho,Auxerre,DF,0,-0.9368671109625534,0.78031170135218,1.2033106559965994,-1.2176489135899358
Esteban Lepaul,Angers,FW,7,1.7311656590456395,-1.4262939531868457,0.22010001670575235,0.5578336844509846
Oumar Diakité,Reims,FW,7,1.4481452395752146,-1.3298550251743733,0.19725527331751339,0.9454513088065868
Mohamed Ali Cho,Nice,"FW,MF",4,0.8539366795104344,-0.9048348857347102,-1.094758752316664,1.1786065715480654
Arthur Desmas,Le Havre,GK,5,-1.7723852999386451,-0.10150752503513763,1.45739203764473,-2.5984730758032355
Quentin Merlin,Marseille,DF,3,-0.5527767903545785,0.24054208622264614,-1.222684644039531,0.6181900273107174
Malick Fofana,Lyon,FW,4,0.8186706858739163,-0.8300255261029439,-1.2652660569438323,1.3307611756005622
Neil El Aynaoui,Lens,MF,1,0.5283352531053925,0.39192787869124696,-0.9703782891902627,-0.10686442721497497
Duje Ćaleta-Car,Lyon,DF,0,-1.1573204959247105,1.2796225184453998,0.8161945210378592,-1.0040889007974134
Mathias Pereira Lage,Brest,"FW,MF",4,0.5812841736214829,-1.465264502992545,-1.7221432158222134,0.41553481114668084
Anthony Lopes,Nantes,GK,5,-1.5399057481500216,-0.2212675877423883,1.2613673839677637,-2.3790612631353247
Valentin Rongier,Marseille,"MF,DF",2,-0.5806617630576448,1.5977291768632242,-0.4724713870732875,0.1648013124487566
Jordan Veretout,Lyon,MF,1,0.07906716399567897,0.7896403334229778,-0.3197559328473735,-0.05873725541605483
