player_name,positions,equipe,cluster,UMAP_1,UMAP_2,UMAP_3,age
Edon Zhegrova,"FW,MF",Lille,0,18.676054,5.751767,1.3832968,25.0
Yanis Zouaoui,"DF,FW",Le Havre,2,17.121355,7.0675654,1.5305831,30.0
Abdukodir Khusanov,DF,Lens,1,14.72134,8.95705,4.754237,20.0
Anthony Rouault,DF,Rennes,3,14.099477,8.713196,5.145878,23.0
Ado Onaiwu,"MF,FW",Auxerre,0,20.673817,7.3143673,2.3130407,28.0
Junior Mwanga,MF,Le Havre,1,16.799725,7.625934,4.8752255,21.0
Thiago Almada,"MF,FW",Lyon,4,16.846497,5.9765334,2.2211163,23.0
Sael Kumbedi,DF,Lyon,1,18.131184,8.443286,3.814122,19.0
Marcus Coco,DF,Nantes,3,17.52018,9.214791,2.6736994,28.0
Abakar Sylla,DF,Strasbourg,1,14.449582,10.203606,4.2851925,21.0
Yael Mouanga,DF,Montpellier,1,14.828285,9.7176285,5.881374,19.0
Antoine Joujou,"MF,FW",Le Havre,4,19.888466,5.9698906,1.6987425,21.0
Ibrahima Niane,FW,Angers,0,21.365969,7.7200575,0.43961862,25.0
Theo Bair,FW,Auxerre,4,22.324274,8.092375,1.8775204,24.0
Ulisses Garcia,DF,Marseille,0,17.944473,6.597007,3.0388806,28.0
Jérémy Jacquet,DF,Rennes,1,15.779092,8.615595,4.7986245,19.0
Baptiste Santamaria,MF,Nice,2,17.089373,8.240967,5.045452,29.0
Khvicha Kvaratskhelia,FW,Paris S,4,18.305695,4.849254,1.2833732,23.0
Wesley Saïd,FW,Lens,0,21.0744,6.959161,1.4873961,29.0
Ismaily,DF,Lille,2,16.450573,8.1098,2.743119,34.0
Romain Faivre,"MF,FW",Brest,0,19.246649,5.9125147,1.6492757,26.0
Hiroki Sekine,DF,Reims,1,17.302914,9.277077,3.9319205,21.0
Goduine Koyalipou,FW,Lens,4,21.623493,7.9125853,1.9303012,24.0
Lucas Hernández,DF,Paris S,3,14.089381,7.589111,3.8931322,28.0
Mathis Amougou,MF,Saint,1,18.167366,8.271732,5.303635,18.0
Mamadou Diakhon,"FW,MF",Reims,4,20.147238,5.4433184,1.3873925,18.0
Mohamed Abdelmoneim,DF,Nice,3,15.455374,8.842613,4.934332,25.0
Koka,FW,Le Havre,0,21.668594,8.50369,1.9050134,31.0
Zinedine Ferhat,"FW,MF",Angers,2,17.8954,6.7628765,1.2626832,31.0
Seko Fofana,MF,Rennes,0,17.587133,6.042117,3.5399225,29.0
Antoine Mendy,DF,Nice,1,16.840317,8.718356,4.0600543,20.0
Ibrahim Sissoko,FW,Saint,0,21.957035,7.497096,1.8239774,28.0
Louis Leroux,"MF,DF",Nantes,1,19.231937,7.2272873,4.132438,18.0
Albert Grønbaek,"MF,FW",Rennes,4,19.285835,6.376038,0.74417436,23.0
Senny Mayulu,MF,Paris S,1,18.298681,5.75411,3.2074583,18.0
Jonathan Rowe,"FW,MF",Marseille,4,19.36721,5.107832,1.1489849,21.0
Alidu Seidu,DF,Rennes,3,16.710484,8.456521,3.76343,24.0
Yoann Salmier,DF,Le Havre,2,15.065419,10.126338,5.7431993,31.0
Yvann Macon,DF,Saint,3,17.579931,8.34002,3.532194,25.0
