player_name,equipe,positions,tsne_1,tsne_2,tsne_3,tsne_4,cluster
Antoine Mendy,Nice,DF,1.7900288,0.758415,-0.7680969,1.6777999,0
Ibrahim Sissoko,Saint,FW,-5.005584,2.097165,0.15078263,-2.6798596,1
Louis Leroux,Nantes,"MF,DF",-0.97552425,1.4821843,-0.72656035,-1.753138,1
Albert Grønbaek,Rennes,"MF,FW",-3.4004688,-1.0493939,1.6516117,-1.0132114,0
Senny Mayulu,Paris S,MF,-1.9544524,-2.4696782,-1.6670091,-0.50550175,1
Jonathan Rowe,Marseille,"FW,MF",-4.266742,-1.911176,-1.1374145,-0.9463742,1
Alidu Seidu,Rennes,DF,1.5038356,0.28829592,-1.3746682,1.522179,0
Yoann Salmier,Le Havre,DF,4.085726,2.5932794,0.83441716,0.99932885,0
Yvann Macon,Saint,DF,0.18627954,0.5758764,-0.9997034,1.4888034,0
Jordan Amavi,Brest,DF,1.4989396,0.46381748,0.92298466,2.6719072,0
Tom Louchet,Nice,"DF,MF",-0.12945122,-0.8769395,1.6022617,2.7056234,0
Sekou Mara,Strasbourg,"FW,MF",-4.0952797,1.5786839,-1.1975622,-2.153952,1
Maxime Bernauer,Saint,DF,5.9741545,-0.8607801,0.5203473,0.090289675,0
Boubakar Kouyaté,Montpellier,DF,4.106714,2.9511192,0.61576945,2.056223,0
Teddy Teuma,Reims,MF,0.8752448,-2.2040308,1.2451969,0.07016302,0
Angel Gomes,Lille,MF,-2.552675,-0.2639815,-0.429391,1.0861334,1
Saïd Benrahma,Lyon,"FW,MF",-2.5686238,-2.4614367,0.14683892,-0.81269825,1
Augustine Boakye,Saint,"FW,MF",-2.9148448,-0.078207396,0.48035976,-1.8625542,1
Mathieu Cafaro,Saint,"MF,FW",-2.3354845,-0.056438442,1.694439,-0.54195845,0
Rayan Raveloson,Auxerre,"MF,DF",2.5736384,1.4097673,0.38748574,-1.0689992,1
George Ilenikhena,Monaco,FW,-5.413551,1.7650781,0.29430816,-0.9732475,1
Lucas Mincarelli,Montpellier,DF,1.6504617,1.8515495,-0.080174945,1.0886236,0
