player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,umap_4,umap_5,cluster
André Ayew,Le Havre,FW,34.0,5dbefa9d,GHA,9.918757,-19.256245,19.961975,3.0922582,-31.164135,1
Georges Mikautadze,Lyon,FW,23.0,4788cb6b,GEO,9.047817,-19.730816,20.901697,3.7581925,-30.600311,1
Derek Cornelius,Marseille,DF,26.0,577744b8,CAN,6.9550223,-15.211473,19.95794,2.704153,-28.014723,0
Anass Zaroury,Lens,"FW,MF",23.0,07d65234,MAR,7.4322066,-18.324287,20.727032,4.7464924,-30.745272,1
Ali Abdi,Nice,"DF,MF",30.0,ad7cdb35,TUN,7.38074,-18.198181,19.696613,3.8724241,-30.703627,1
Przemysław Frankowski,Lens,DF,29.0,00a8d210,POL,6.7015305,-17.243345,20.478918,4.103225,-29.990002,1
Malang Sarr,Lens,DF,25.0,4315f30d,FRA,7.3422246,-15.125019,19.313646,3.1082916,-28.973663,0
Julien Le Cardinal,Brest,DF,26.0,547a72ad,FRA,7.521901,-14.558939,18.87467,2.099147,-28.673195,0
Emmanuel Biumla,Angers,DF,19.0,e5a94f46,FRA,8.342924,-15.194382,19.169588,2.3198986,-29.477673,0
Kamory Doumbia,Brest,"MF,FW",21.0,9226aa22,MLI,7.614693,-17.608757,20.687498,3.0648925,-30.450087,-1
Sorba Thomas,Nantes,"FW,MF",24.0,8725a42e,WAL,7.899705,-18.016005,20.223314,4.404229,-31.247444,1
Lilian Raolisoa,Angers,"DF,FW",24.0,79a793b7,FRA,7.480623,-17.220102,19.759457,3.810684,-31.242897,-1
Amadou Koné,Reims,MF,19.0,2eb1ec07,MLI,8.357024,-16.752884,19.898958,2.2002826,-29.932426,0
Osame Sahraoui,Lille,"FW,MF",23.0,6f9fa232,MAR,8.133645,-18.968695,20.467955,4.622755,-29.934225,1
André Gomes,Lille,MF,31.0,1961b2aa,POR,7.2743855,-16.5868,20.504925,3.5749412,-28.795795,0
Emmanuel Agbadou,Reims,DF,27.0,75f1ed80,CIV,7.0670614,-15.161349,20.063675,3.0056632,-28.306242,0
Romain Del Castillo,Brest,FW,28.0,0be95d34,FRA,7.3250837,-18.004873,20.801483,4.1168556,-31.181995,1
Mostafa Mohamed,Nantes,FW,26.0,595e6f3e,EGY,9.390399,-19.349993,19.958258,3.0383093,-30.913095,1
Florian Tardieu,Saint,MF,32.0,ed39121c,FRA,7.0339456,-16.785591,20.854168,3.7697954,-29.310936,0
Arouna Sangante,Le Havre,DF,22.0,17bb562c,SEN,7.9205093,-15.003281,19.646307,1.7374877,-28.70543,0
Abdallah Sima,Brest,"FW,MF",23.0,fdbde523,SEN,9.7135105,-19.632616,20.451805,3.8437872,-30.82791,1
Tanner Tessmann,Lyon,MF,22.0,ac277993,USA,7.9432063,-16.385918,20.411781,3.099045,-28.815973,0
Lilian Brassier,Rennes,DF,24.0,5b146df3,FRA,7.2333207,-15.2355585,19.782982,3.1435251,-28.470575,0
Falaye Sacko,Montpellier,DF,29.0,6388e356,MLI,8.213265,-15.75586,18.810669,3.2836134,-30.363653,-1
Mika Biereth,Monaco,FW,21.0,a1d95db3,DEN,9.509565,-20.083344,20.832453,3.3816574,-30.586506,1
Leo Skiri Østigård,Rennes,DF,24.0,b35a7399,NOR,7.9605618,-15.312055,19.374601,2.230453,-28.552715,0
Ngal'Ayel Mukau,Lille,MF,19.0,bb461b8a,COD,8.386739,-17.078997,19.805977,3.4837024,-29.35038,0
Shavy Babicka,Toulouse,"MF,FW",24.0,c6f0d5d4,GAB,9.239866,-19.158278,20.79979,3.942512,-31.048298,1
Jordan James,Rennes,MF,20.0,f719ad7f,WAL,7.8163733,-17.442028,20.634136,3.7034817,-30.377317,1
Christopher Operi,Le Havre,"DF,FW",27.0,914bb955,CIV,7.205156,-17.323107,20.311876,4.3582735,-31.120977,1
Arnaud Nordin,Montpellier,FW,26.0,7b9a9e25,FRA,9.350245,-19.113457,20.550793,4.302849,-31.156029,1
Nhoa Sangui,Reims,"DF,MF",18.0,3f465a66,FRA,8.287218,-16.522455,19.038263,3.8188288,-29.916483,-1
Valentín Barco,Strasbourg,"MF,DF",20.0,b9f282ec,ARG,7.3822703,-16.767214,19.64496,3.4529922,-29.332308,0
Issiaga Sylla,Montpellier,DF,30.0,b99bec05,GUI,7.679077,-16.835764,19.224972,3.8644896,-31.043047,-1
Aleksandr Golovin,Monaco,"MF,FW",28.0,3708e9fa,RUS,7.2828355,-18.26207,20.74722,3.8638504,-29.349234,0
Ayyoub Bouaddi,Lille,MF,16.0,8006228f,FRA,8.391886,-17.121468,19.925783,2.667739,-29.572279,0
Mama Samba Baldé,Brest,FW,28.0,fb14aa28,GNB,9.390809,-19.654234,20.640224,3.8757098,-31.130445,1
Mitchel Bakker,Lille,"FW,DF",24.0,a8567629,NED,7.404537,-18.068903,20.13525,4.624003,-30.442152,1
Tanguy Ndombele,Nice,MF,27.0,5cdddffa,FRA,8.333095,-18.119562,20.094593,3.501312,-29.47738,-1
Mory Gbane,Reims,"DF,MF",23.0,ab8b392c,CIV,8.731033,-15.429268,18.959116,2.5590482,-29.538376,0
Ruben Aguilar,Lens,"DF,MF",31.0,3dd738a1,FRA,6.507761,-17.264235,20.081972,3.7542014,-29.660784,-1
Djaoui Cissé,Rennes,MF,20.0,576ca93f,FRA,7.6560755,-16.770662,20.670134,2.9574285,-28.984264,0
Wahbi Khazri,Montpellier,"FW,MF",33.0,2677a1de,TUN,8.862391,-18.170986,20.097971,3.6924284,-31.228395,1
Musa Al-Taamari,Montpellier,"FW,MF",27.0,f15f8b2b,JOR,8.78949,-19.248568,19.973711,4.3300896,-31.08031,1
Timothee Pembele,Le Havre,DF,21.0,f8ce97ca,FRA,8.465577,-16.809792,18.819645,3.4015076,-30.585741,-1
