UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,player_name,equipe,positions,age,player_id,player_country_code
14.061178,11.450788,6.2571673,5.5106897,9.195773,Wahbi Khazri,Montpellier,"FW,MF",33.0,2677a1de,TUN
15.497128,12.695863,5.87071,5.518665,8.779237,Musa Al-Taamari,Montpellier,"FW,MF",27.0,f15f8b2b,JOR
12.9094515,11.171904,4.9956613,4.7777743,8.084139,Timothee Pembele,Le Havre,DF,21.0,f8ce97ca,FRA
12.377763,10.114961,5.162059,4.204288,8.346468,Jaydee Canvot,Toulouse,"DF,MF",18.0,3684108d,FRA
12.54965,9.758772,5.2044444,4.5369716,8.807961,Edimilson Fernandes,Brest,"MF,DF",28.0,3bb625ac,SUI
15.197959,11.969152,6.0512667,5.4492292,8.663154,Badredine Bouanani,Nice,"MF,FW",19.0,0400dd2f,ALG
13.729118,10.570071,5.5927653,5.1170926,8.025826,Abner,Lyon,DF,24.0,7f9c5d2d,BRA
12.404219,8.832566,5.929212,3.8626952,7.6405263,Kevin Danso,Lens,DF,25.0,6e33125f,AUT
13.985377,13.754389,7.0325155,5.084282,9.099033,Akor Adams,Montpellier,FW,24.0,2ccd39ed,NGA
14.590582,13.45698,7.053432,5.267245,8.793738,Gonçalo Ramos,Paris S,FW,23.0,f63cda26,POR
14.741504,12.24941,5.6759067,5.0925093,9.026931,Matias Fernandez-Pardo,Lille,"FW,MF",19.0,0cdb6a2a,BEL
14.791966,11.478739,5.7409673,5.5810523,8.365159,Sofiane Diop,Nice,"MF,FW",24.0,19053e31,FRA
14.477878,12.89587,6.525577,5.297853,9.201596,Irvin Cardona,Saint,FW,26.0,5e080f73,MLT
13.001411,11.095172,5.1345043,5.1545544,8.39968,Rassoul Ndiaye,Le Havre,MF,22.0,36f65bdf,SEN
15.502496,12.131578,5.978169,5.525529,8.9304695,Jeremie Boga,Nice,"MF,FW",27.0,fe012aca,CIV
