tsne_1,tsne_2,tsne_3,tsne_4,player_name,equipe,positions
1.031809,-1.0983934,2.0485485,-1.8437401,Yael Mouanga,Montpellier,DF
1.6591886,-1.0649678,-1.8674605,1.7806472,Antoine Joujou,Le Havre,"MF,FW"
2.5612955,-1.3905452,0.7721253,3.129139,Ibrahima Niane,Angers,FW
2.4259102,-2.2427332,0.66186196,2.546935,Theo Bair,Auxerre,FW
0.2640504,-1.1540301,0.7951288,1.0448167,Ulisses Garcia,Marseille,DF
0.6232966,-1.0895412,1.6216689,-1.4493947,Jérémy Jacquet,Rennes,DF
1.6940188,-1.1217611,0.043999724,-1.6609526,Baptiste Santamaria,Nice,MF
1.525472,0.2485849,-2.119412,2.025171,Khvicha Kvaratskhelia,Paris S,FW
1.9802749,-1.8761955,0.4103091,1.8945191,Wesley Saïd,Lens,FW
-0.074215874,0.11948827,0.40457866,-0.24655986,Ismaily,Lille,DF
1.8601695,-0.6978365,-1.0264059,1.4555758,Romain Faivre,Brest,"MF,FW"
1.0415692,-1.4361703,0.790422,-1.1662023,Hiroki Sekine,Reims,DF
3.0197806,-1.6277244,-0.027971301,2.4354737,Goduine Koyalipou,Lens,FW
0.086401254,-1.392859,0.5585361,-3.2522578,Lucas Hernández,Paris S,DF
1.9741404,-1.0397184,0.7446458,-0.43088052,Mathis Amougou,Saint,MF
1.7204541,-0.9825654,-2.102396,2.1505492,Mamadou Diakhon,Reims,"FW,MF"
0.74872136,-1.6877874,2.233415,-1.9357939,Mohamed Abdelmoneim,Nice,DF
2.660471,-1.8855352,1.2445618,1.8758433,Koka,Le Havre,FW
-1.5353944,-2.4075937,1.4045157,0.30790558,Zinedine Ferhat,Angers,"FW,MF"
2.1251612,-1.0833439,-0.6963885,-0.32647318,Seko Fofana,Rennes,MF
0.73088926,-1.0393864,0.88299835,-0.91017294,Antoine Mendy,Nice,DF
1.983968,-1.9649574,0.635576,2.8121302,Ibrahim Sissoko,Saint,FW
1.4477077,-0.78023845,0.7071656,0.7715736,Louis Leroux,Nantes,"MF,DF"
2.6419792,-1.0068358,-1.3449223,0.6196301,Albert Grønbaek,Rennes,"MF,FW"
1.0695001,-0.64749163,-0.4128121,1.1783069,Senny Mayulu,Paris S,MF
1.8215145,-0.41567552,-1.7336817,2.3941104,Jonathan Rowe,Marseille,"FW,MF"
1.0806448,-1.3950334,0.4026929,-1.1826156,Alidu Seidu,Rennes,DF
1.2736672,-1.122954,2.6657894,-1.6927552,Yoann Salmier,Le Havre,DF
1.3940672,-1.5344412,0.42296377,-0.7919844,Yvann Macon,Saint,DF
1.9996192,-1.4351228,-0.10119951,-2.0567875,Jordan Amavi,Brest,DF
1.2242882,-0.034512635,0.6629986,-0.12103308,Tom Louchet,Nice,"DF,MF"
2.5858057,-2.0407803,0.36085093,1.8487777,Sekou Mara,Strasbourg,"FW,MF"
2.6616619,-1.1856325,1.6345042,-2.6582382,Maxime Bernauer,Saint,DF
2.6944287,-1.343671,2.0217166,-2.6548,Boubakar Kouyaté,Montpellier,DF
1.5931958,-0.02040266,-0.94864017,-0.9410595,Teddy Teuma,Reims,MF
2.9489222,-0.5586551,0.006345777,0.2890889,Angel Gomes,Lille,MF
2.576543,-0.49773994,-1.05726,0.89083195,Saïd Benrahma,Lyon,"FW,MF"
2.4340568,-1.5730613,-0.3137082,1.3646805,Augustine Boakye,Saint,"FW,MF"
3.272932,-1.198382,0.26528996,-0.1597958,Mathieu Cafaro,Saint,"MF,FW"
2.41568,-1.544478,0.49569747,-0.93155485,Rayan Raveloson,Auxerre,"MF,DF"
3.4031553,-1.5879121,0.827515,2.2260911,George Ilenikhena,Monaco,FW
1.8207496,-1.325773,1.3332387,-0.82288396,Lucas Mincarelli,Montpellier,DF
1.9807165,-0.88132197,1.2064183,-0.4741857,Jacques Ekomie,Angers,"DF,FW"
1.6792675,-0.8389187,1.2635232,-2.1385329,Mikayil Ngor Faye,Rennes,DF
1.4632149,-1.2011617,1.8841153,-1.5755268,Abdulai Juma Bah,Lens,DF
2.3763115,-1.6411128,2.7309935,-0.3323727,Pol Lirola,Marseille,DF
2.454951,-1.5725954,0.5438016,-1.1957018,Assane Dioussé,Auxerre,MF
1.9349056,-1.6573775,1.2185047,0.29113114,Glen Kamara,Rennes,MF
2.5251427,-1.7723864,0.55958766,1.4593399,Emmanuel Sabbi,Le Havre,"FW,MF"
1.062052,-0.7741157,-1.7297595,-1.5243224,Ismaël Bennacer,Marseille,MF
2.9228487,-1.4325637,1.2218468,2.3390393,Chuba Akpom,Lille,FW
1.8347769,-0.1892809,1.1634228,-0.29101053,Luck Zogbé,Brest,DF
